Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
142,1.183333,-179.963547,2.324014,-178.941757,-2194.258545,125.876518,13.991420
143,1.191667,-179.965317,2.328141,-178.944244,-2194.258545,125.880005,14.001637
144,1.200000,-179.961807,2.322561,-178.947876,-2194.262695,125.879944,13.997738
145,1.208333,-179.963104,2.325682,-178.945892,-2194.252686,125.887764,13.989686
146,1.216667,-179.962845,2.328953,-178.945801,-2194.243408,125.892235,13.984701
147,1.225000,-179.961746,2.330128,-178.952042,-2194.249512,125.881866,13.984674
148,1.233333,-179.962830,2.327343,-178.945770,-2194.257080,125.879761,13.991313
149,1.241667,-179.960297,2.323376,-178.942841,-2194.255371,125.879410,13.998362
150,1.250000,-179.956482,2.313334,-178.938126,-2194.273438,125.899391,13.999739
151,1.258333,-179.965393,2.326230,-178.951660,-2194.247314,125.893265,13.983596
152,1.266667,-179.969269,2.326634,-178.948090,-2194.247803,125.890984,13.981127
153,1.275000,-179.961670,2.328036,-178.943100,-2194.260254,125.885132,13.985609
154,1.283333,-179.963425,2.326221,-178.946228,-2194.257324,125.882027,13.998388
155,1.291667,-179.963623,2.326878,-178.942047,-2194.259766,125.882385,14.005320
156,1.300000,-179.962845,2.327511,-178.944153,-2194.253418,125.882866,13.997149
157,1.308333,-179.972015,2.323578,-178.940857,-2194.252686,125.882927,13.989564
158,1.316667,-179.961945,2.327967,-178.941666,-2194.249512,125.892937,13.982692
159,1.325000,-179.964935,2.326521,-178.944656,-2194.260010,125.884491,13.993543
160,1.333333,-179.962250,2.325125,-178.940994,-2194.254883,125.879753,13.996219
161,1.341667,-179.965714,2.327942,-178.943069,-2194.252686,125.880760,14.003383
162,1.350000,-179.964722,2.328111,-178.944611,-2194.258301,125.886024,13.998607
163,1.358333,-179.960312,2.327917,-178.948730,-2194.250244,125.894394,13.985375
164,1.366667,-179.964203,2.322039,-178.942810,-2194.249023,125.885605,13.985354
165,1.375000,-179.947983,2.312160,-178.936081,-2194.275391,125.899879,13.997306
166,1.383333,-179.971573,2.331995,-178.959732,-2194.270508,125.863655,13.967799
