Format Version,1.23,Take Name,Take 2023-03-16 12.01.21 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 12.01.22.234 P.M.,Capture Start Frame,7098907,Total Frames in Take,2899,Total Exported Frames,2899,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,0.516667,,,,,,,,,,,,,0.954717,0.670321,-0.625169,7.989751,102.333969,-32.058510
63,0.525000,,,,,,,,,,,,,0.648636,0.811021,-0.623072,8.282639,102.689766,-32.141201
64,0.533333,,,,,,,,,,,,,0.646393,0.803658,-0.624996,8.287271,102.675163,-32.121864
65,0.541667,,,,,,,,,,,,,0.648872,0.804618,-0.623909,8.290013,102.668114,-32.122223
66,0.550000,,,,,,,,,,,,,0.642654,0.805163,-0.629314,8.293618,102.681374,-32.119473
67,0.558333,,,,,,,,,,,,,0.958380,0.671724,-0.610660,7.985069,102.301704,-32.044266
68,0.566667,,,,,,,,,,,,,1.005578,0.702413,-0.578443,7.983646,102.232445,-31.995766
69,0.575000,,,,,,,,,,,,,1.005946,0.696799,-0.576698,7.994379,102.232903,-32.005196
70,0.583333,,,,,,,,,,,,,0.651668,0.805146,-0.637393,8.310888,102.671341,-32.116417
71,0.591667,,,,,,,,,,,,,0.651211,0.802557,-0.630186,8.315614,102.680664,-32.119637
72,0.600000,,,,,,,,,,,,,0.964201,0.677643,-0.615092,8.012853,102.300766,-32.030685
73,0.608333,,,,,,,,,,,,,0.642277,0.809481,-0.631452,8.324470,102.687363,-32.125931
74,0.616667,,,,,,,,,,,,,0.991376,0.692458,-0.598855,8.021952,102.225952,-31.980186
75,0.625000,,,,,,,,,,,,,0.995430,0.693400,-0.603349,8.039768,102.248756,-31.987944
76,0.633333,,,,,,,,,,,,,0.996923,0.683033,-0.613534,8.040719,102.251884,-31.971659
77,0.641667,,,,,,,,,,,,,1.004517,0.690953,-0.609859,8.056221,102.245514,-31.973652
78,0.650000,,,,,,,,,,,,,0.994141,0.693347,-0.613599,8.047174,102.249664,-31.982132
79,0.658333,,,,,,,,,,,,,0.647556,0.789238,-0.656035,8.360967,102.681946,-32.099895
80,0.666667,,,,,,,,,,,,,0.658693,0.786817,-0.660061,8.352199,102.675575,-32.099007
81,0.675000,,,,,,,,,,,,,0.983117,0.692194,-0.591431,8.036271,102.235298,-31.986256
82,0.683333,,,,,,,,,,,,,0.973518,0.688251,-0.591200,8.029513,102.233482,-31.983509
83,0.691667,,,,,,,,,,,,,0.947889,0.666527,-0.635735,8.048799,102.298279,-32.029755
84,0.700000,,,,,,,,,,,,,0.929457,0.664263,-0.663876,8.109441,102.315201,-32.057606
85,0.708333,,,,,,,,,,,,,0.895870,0.657400,-0.708440,8.196490,102.299370,-32.097893
86,0.716667,,,,,,,,,,,,,0.910438,0.714224,-0.733129,8.337882,102.282585,-32.122677
87,0.725000,,,,,,,,,,,,,1.071616,1.165045,-0.487368,8.841169,102.093231,-31.693727
88,0.733333,,,,,,,,,,,,,0.904340,0.767194,-0.773990,8.453409,102.419128,-32.155018
89,0.741667,,,,,,,,,,,,,0.679932,0.826396,-0.930522,8.780921,102.783920,-32.248749
90,0.750000,,,,,,,,,,,,,0.854184,0.783935,-0.749306,8.429447,102.392632,-32.203838
91,0.758333,,,,,,,,,,,,,1.035454,1.204636,-0.415550,8.749434,102.071037,-31.772770
92,0.766667,,,,,,,,,,,,,0.819798,0.770338,-0.697073,8.268164,102.384468,-32.276970
93,0.775000,,,,,,,,,,,,,0.861233,0.725998,-0.709307,8.163998,102.315895,-32.220226
94,0.783333,,,,,,,,,,,,,0.774782,0.787704,-0.649854,8.220898,102.412003,-32.315796
95,0.791667,,,,,,,,,,,,,0.778123,0.842467,-0.637436,8.274112,102.386810,-32.254673
96,0.800000,,,,,,,,,,,,,0.952226,1.178945,-0.416976,8.706330,102.178276,-31.870001
97,0.808333,,,,,,,,,,,,,1.031865,1.184698,-0.442747,8.736430,102.151115,-31.819601
98,0.816667,,,,,,,,,,,,,1.085160,1.182789,-0.466805,8.768071,102.131416,-31.780134
99,0.825000,,,,,,,,,,,,,1.043061,1.190477,-0.441508,8.776118,102.134262,-31.793161
100,0.833333,,,,,,,,,,,,,0.856428,0.697827,-0.793197,8.359993,102.493759,-32.328926
101,0.841667,,,,,,,,,,,,,1.184781,1.166607,-0.453044,8.714581,102.046104,-31.695705
102,0.850000,,,,,,,,,,,,,0.867594,0.683288,-0.763883,8.278906,102.477676,-32.300076
103,0.858333,,,,,,,,,,,,,0.918076,0.781758,-0.644224,8.173161,102.361801,-32.173321
104,0.866667,,,,,,,,,,,,,0.670436,0.798507,-0.721118,8.378676,102.742035,-32.266743
105,0.875000,,,,,,,,,,,,,0.680279,0.795508,-0.696812,8.302803,102.722763,-32.272755
106,0.883333,,,,,,,,,,,,,0.890565,0.751569,-0.543608,7.943193,102.367249,-32.227066
107,0.891667,,,,,,,,,,,,,0.897555,0.736577,-0.512949,7.852169,102.361168,-32.234749
108,0.900000,,,,,,,,,,,,,0.913996,0.775107,-0.434722,7.771395,102.311722,-32.176682
109,0.908333,,,,,,,,,,,,,0.902402,0.740530,-0.418015,7.670492,102.356056,-32.199081
110,0.916667,,,,,,,,,,,,,0.908312,0.740331,-0.370786,7.586420,102.351044,-32.175701
111,0.925000,,,,,,,,,,,,,1.051248,0.777759,-0.229520,7.545653,102.458130,-32.250561
112,0.933333,,,,,,,,,,,,,1.059688,0.780596,-0.188819,7.463783,102.441986,-32.240921
113,0.941667,,,,,,,,,,,,,1.032222,0.779175,-0.149959,7.392586,102.436127,-32.251064
114,0.950000,,,,,,,,,,,,,1.027949,0.773324,-0.109890,7.318069,102.418869,-32.251091
115,0.958333,,,,,,,,,,,,,1.024770,0.771946,-0.082383,7.255567,102.407555,-32.239109
116,0.966667,,,,,,,,,,,,,0.834225,0.824555,-0.144854,7.467341,102.730698,-32.291348
117,0.975000,,,,,,,,,,,,,0.821272,0.819152,-0.120715,7.426288,102.730408,-32.278107
