Format Version,1.23,Take Name,Take 2023-03-16 11.51.58 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.51.58.483 A.M.,Capture Start Frame,7031220,Total Frames in Take,2479,Total Exported Frames,2479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,0.508333,,,,,,,,,,,,,1.314906,-0.276267,0.343125,-19.894714,101.662994,-20.776161
62,0.516667,,,,,,,,,,,,,1.313437,-0.280071,0.334061,-19.888287,101.654953,-20.756151
63,0.525000,,,,,,,,,,,,,1.308179,-0.283150,0.331870,-19.895977,101.683090,-20.786356
64,0.533333,,,,,,,,,,,,,1.302576,-0.267472,0.334502,-19.878630,101.679047,-20.803448
65,0.541667,,,,,,,,,,,,,1.321368,-0.273046,0.335650,-19.880327,101.654335,-20.757074
66,0.550000,,,,,,,,,,,,,1.365529,-0.242466,0.388172,-19.901506,101.591919,-20.694891
67,0.558333,,,,,,,,,,,,,1.357852,-0.241609,0.385182,-19.900410,101.595474,-20.692574
68,0.566667,,,,,,,,,,,,,1.308483,-0.281236,0.333182,-19.892143,101.664513,-20.772938
69,0.575000,,,,,,,,,,,,,1.318316,-0.275045,0.338134,-19.888401,101.663086,-20.761509
70,0.583333,,,,,,,,,,,,,1.316270,-0.279115,0.327074,-19.887550,101.680656,-20.780058
71,0.591667,,,,,,,,,,,,,1.320323,-0.276484,0.331381,-19.892668,101.658379,-20.761417
72,0.600000,,,,,,,,,,,,,1.313797,-0.283271,0.331184,-19.891708,101.674240,-20.771317
73,0.608333,,,,,,,,,,,,,1.378296,-0.230892,0.397190,-19.901091,101.590302,-20.680464
74,0.616667,,,,,,,,,,,,,1.373775,-0.239227,0.391172,-19.900539,101.583130,-20.677128
75,0.625000,,,,,,,,,,,,,1.374489,-0.232436,0.401988,-19.901678,101.594849,-20.687155
76,0.633333,,,,,,,,,,,,,1.326645,-0.279852,0.326358,-19.884731,101.661278,-20.756372
77,0.641667,,,,,,,,,,,,,1.331173,-0.281723,0.334010,-19.885077,101.669777,-20.766174
78,0.650000,,,,,,,,,,,,,1.303199,-0.269828,0.348881,-19.889816,101.655251,-20.772535
