Format Version,1.23,Take Name,Take 2023-03-21 12.08.59 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 12.09.00.620 P.M.,Capture Start Frame,8664872,Total Frames in Take,3831,Total Exported Frames,3831,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
202,1.683333,-179.840744,1.215576,-179.957596,-49.848480,101.662079,-20.806162
203,1.691667,-179.769913,1.141692,179.910278,-49.879406,101.811676,-20.898088
204,1.700000,-179.841034,1.218811,-179.953293,-49.852806,101.653580,-20.809174
205,1.708333,-179.767670,1.145618,179.913147,-49.883762,101.804024,-20.892469
206,1.716667,-179.751678,1.138836,179.927689,-49.913071,101.806175,-20.925016
207,1.725000,-179.745209,1.136896,179.918915,-49.913860,101.812309,-20.925919
208,1.733333,-179.842133,1.217040,-179.956177,-49.856773,101.669151,-20.808226
209,1.741667,-179.841385,1.218230,-179.952927,-49.855530,101.663971,-20.810190
210,1.750000,-179.752228,1.141606,179.927414,-49.916748,101.815010,-20.926014
211,1.758333,-179.842575,1.214642,-179.955017,-49.859100,101.666237,-20.806938
212,1.766667,-179.762634,1.143021,179.911041,-49.883228,101.808266,-20.902813
213,1.775000,-179.805420,1.166632,179.948853,-49.900517,101.860931,-20.928326
214,1.783333,-179.765686,1.144864,179.913147,-49.883381,101.811813,-20.900166
215,1.791667,-179.794586,1.164351,179.957336,-49.939468,101.874649,-20.958305
216,1.800000,-179.767441,1.143825,179.912979,-49.889221,101.816124,-20.895472
217,1.808333,-179.753647,1.141141,179.925415,-49.920773,101.816139,-20.921709
218,1.816667,-179.845108,1.217579,-179.956375,-49.857349,101.660751,-20.802086
219,1.825000,-179.842285,1.217327,-179.957977,-49.858173,101.665039,-20.808847
220,1.833333,-179.764725,1.144730,179.913025,-49.887341,101.818390,-20.899422
221,1.841667,-179.753662,1.138136,179.924240,-49.923294,101.813454,-20.921408
222,1.850000,-179.753525,1.141679,179.928146,-49.926472,101.808197,-20.919546
223,1.858333,-179.796280,1.165535,179.951172,-49.940590,101.865700,-20.952019
224,1.866667,-179.767883,1.146049,179.910812,-49.887432,101.817566,-20.891241
225,1.875000,-179.752090,1.138546,179.926620,-49.919384,101.822174,-20.926352
226,1.883333,-179.767441,1.146164,179.913651,-49.885338,101.818054,-20.898106
227,1.891667,-179.802841,1.168326,179.948029,-49.900959,101.864655,-20.925966
228,1.900000,-179.748138,1.140696,179.928482,-49.921265,101.808525,-20.922823
229,1.908333,-179.794296,1.163593,179.954498,-49.937447,101.855934,-20.952827
230,1.916667,-179.755707,1.138083,179.926178,-49.921230,101.816917,-20.925232
231,1.925000,-179.841415,1.219966,-179.955566,-49.858017,101.667603,-20.806204
232,1.933333,-179.752274,1.138572,179.928848,-49.916695,101.816628,-20.922258
233,1.941667,-179.754807,1.138487,179.925247,-49.913914,101.814026,-20.925022
234,1.950000,-179.755280,1.139807,179.924103,-49.920841,101.812561,-20.915062
235,1.958333,-179.796310,1.167567,179.953445,-49.939796,101.860275,-20.951557
236,1.966667,-179.751587,1.139086,179.926575,-49.918232,101.812614,-20.924753
237,1.975000,-179.747711,1.137900,179.930954,-49.915791,101.817009,-20.926567
238,1.983333,-179.767273,1.143018,179.908508,-49.884472,101.819061,-20.899385
239,1.991667,-179.767578,1.144188,179.915283,-49.889221,101.812187,-20.896053
240,2.000000,-179.766037,1.143935,179.913879,-49.883568,101.804268,-20.889721
241,2.008333,-179.801132,1.169223,179.946960,-49.899418,101.861275,-20.923576
242,2.016667,-179.751251,1.137390,179.925949,-49.918457,101.813187,-20.923429
243,2.025000,-179.754837,1.141105,179.926743,-49.913830,101.817596,-20.927195
244,2.033333,-179.752014,1.137765,179.927109,-49.916553,101.814529,-20.923599
245,2.041667,-179.804169,1.165469,179.948273,-49.900970,101.859024,-20.925819
246,2.050000,-179.768616,1.145215,179.913422,-49.884945,101.802353,-20.890919
247,2.058333,-179.791229,1.163049,179.956268,-49.935509,101.861099,-20.953419
248,2.066667,-179.752380,1.137853,179.928452,-49.918541,101.818680,-20.926514
249,2.075000,-179.750870,1.137582,179.928833,-49.916561,101.815201,-20.923887
250,2.083333,-179.749420,1.137533,179.929321,-49.916645,101.813034,-20.924242
251,2.091667,-179.795242,1.165037,179.958176,-49.936691,101.866882,-20.951324
252,2.100000,-179.864990,1.218842,-179.973404,-49.818596,101.657028,-20.779144
253,2.108333,-179.750610,1.139984,179.927383,-49.919464,101.811508,-20.924423
254,2.116667,-179.748459,1.136530,179.932068,-49.921841,101.817612,-20.921509
255,2.125000,-179.843018,1.217240,-179.955917,-49.858650,101.671280,-20.805222
256,2.133333,-179.752777,1.137141,179.928680,-49.918716,101.816086,-20.920164
257,2.141667,-179.788651,1.161934,179.957047,-49.938046,101.865227,-20.955494
258,2.150000,-179.900391,1.240113,-179.945511,-49.844093,101.713783,-20.818830
259,2.158333,-179.749023,1.138880,179.931183,-49.916958,101.810738,-20.925852
260,2.166667,-179.686707,1.099902,179.921265,-49.910553,101.823662,-20.937565
261,2.175000,-179.729111,1.122514,179.875168,-49.932800,101.874290,-20.916307
262,2.183333,-179.724380,1.112757,179.881516,-49.974644,101.873680,-20.940491
263,2.191667,-179.733932,1.122913,179.871429,-49.929413,101.859589,-20.910753
264,2.200000,-179.734146,1.120714,179.870453,-49.933125,101.867401,-20.914850
265,2.208333,-179.719391,1.116793,179.882858,-49.979847,101.872444,-20.941647
266,2.216667,-179.681946,1.107514,179.891251,-50.001789,101.967964,-20.907459
267,2.225000,-179.691788,1.102595,179.901505,-49.979134,101.927429,-20.919546
268,2.233333,-179.690918,1.104086,179.904114,-49.975586,101.920860,-20.921970
269,2.241667,-179.695786,1.107603,179.902817,-49.977524,101.928680,-20.916481
270,2.250000,-179.689224,1.105449,179.904541,-49.975777,101.931107,-20.919455
271,2.258333,-179.685211,1.104202,179.905807,-50.022240,101.941071,-20.948517
272,2.266667,-179.724838,1.129227,179.940628,-49.988987,101.974060,-20.952847
273,2.275000,-179.692032,1.105506,179.900635,-49.975838,101.929276,-20.920017
274,2.283333,-179.695084,1.103191,179.899460,-49.979519,101.922096,-20.915186
275,2.291667,-179.691467,1.106277,179.903336,-49.980915,101.923180,-20.919737
276,2.300000,-179.690414,1.103307,179.903168,-49.977905,101.926888,-20.919151
277,2.308333,-179.722946,1.128729,179.943665,-49.988079,101.974945,-20.949657
278,2.316667,-179.683487,1.099689,179.908066,-50.018379,101.934387,-20.951225
279,2.325000,-179.690292,1.105018,179.899139,-49.978840,101.925529,-20.920954
280,2.333333,-179.724487,1.127877,179.938217,-50.037727,101.985939,-20.976709
281,2.341667,-179.687912,1.104074,179.906342,-50.019913,101.929329,-20.944386
282,2.350000,-179.685196,1.101982,179.907486,-50.023624,101.929466,-20.942011
283,2.358333,-179.689255,1.100926,179.910751,-50.018845,101.929138,-20.945335
284,2.366667,-179.682892,1.100927,179.905197,-50.018173,101.933868,-20.948292
285,2.375000,-179.682175,1.100609,179.906281,-50.023991,101.934853,-20.944874
286,2.383333,-179.684402,1.101113,179.911423,-50.022469,101.934364,-20.945112
287,2.391667,-179.689438,1.106263,179.902512,-49.977272,101.925980,-20.914845
288,2.400000,-179.727295,1.126395,179.941711,-49.994492,101.966858,-20.953276
289,2.408333,-179.689423,1.103330,179.902924,-49.977184,101.923393,-20.922569
290,2.416667,-179.691330,1.104936,179.899124,-49.981617,101.929794,-20.918756
291,2.425000,-179.692245,1.108411,179.901031,-49.980709,101.926422,-20.916124
292,2.433333,-179.691162,1.104388,179.900940,-49.978455,101.927368,-20.917072
293,2.441667,-179.686096,1.103532,179.907516,-50.019630,101.937408,-20.950920
294,2.450000,-179.723236,1.126237,179.935638,-50.034176,101.983688,-20.981495
295,2.458333,-179.694092,1.108029,179.896332,-49.987999,101.930534,-20.918678
296,2.466667,-179.689331,1.104178,179.909943,-50.024296,101.934845,-20.943003
297,2.475000,-179.689758,1.101515,179.906876,-50.014881,101.932358,-20.948217
298,2.483333,-179.690155,1.103226,179.908966,-50.015102,101.933159,-20.946518
299,2.491667,-179.687195,1.104780,179.904266,-50.014248,101.927193,-20.947933
300,2.500000,-179.727631,1.129946,179.936325,-50.037540,101.990692,-20.977314
301,2.508333,-179.683685,1.102011,179.907028,-50.021076,101.934723,-20.946165
302,2.516667,-179.687408,1.104055,179.904358,-50.024261,101.938469,-20.949858
303,2.525000,-179.726273,1.127958,179.938110,-50.038696,101.979912,-20.979351
304,2.533333,-179.688354,1.100207,179.907623,-50.016682,101.916618,-20.947485
305,2.541667,-179.686340,1.102508,179.906876,-50.020157,101.925797,-20.951031
306,2.550000,-179.687469,1.101894,179.904190,-50.022858,101.937912,-20.945143
307,2.558333,-179.685150,1.103696,179.904327,-50.019093,101.940567,-20.947456
308,2.566667,-179.685989,1.103022,179.911194,-50.020229,101.929916,-20.949011
309,2.575000,-179.724686,1.128078,179.941742,-50.028141,101.972633,-20.977283
310,2.583333,-179.681671,1.100897,179.905472,-50.011623,101.925606,-20.946222
311,2.591667,-179.820038,1.207851,-179.939377,-49.901573,101.705002,-20.804831
312,2.600000,-179.755096,1.148503,179.975021,-49.979523,101.925575,-20.966040
313,2.608333,-179.715714,1.128568,179.950714,-49.958435,101.873360,-20.927790
314,2.616667,-179.756485,1.151272,179.977829,-49.976818,101.920471,-20.958776
